trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
42,False,"{'a': 0.5, 'e': 0.6570468198150567}",35,0,-139.92980020325393,"{0: 24, 1: 3, 2: 5, 3: 1, 4: 2}",0
43,False,"{'a': 0.5, 'e': 0.6505090947233165}",20,15,8.85251691325607,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
44,False,"{'a': 0.5, 'e': 0.6440364210831414}",30,0,-99.16720645614122,"{0: 26, 1: 0, 2: 1, 3: 0, 4: 3}",0
45,False,"{'a': 0.5, 'e': 0.6376281516217733}",30,5,-47.93262691706548,"{0: 17, 1: 1, 2: 7, 3: 0, 4: 0}",1
46,False,"{'a': 0.5, 'e': 0.631283645506926}",30,0,-32.649379091175476,"{0: 25, 1: 1, 2: 3, 3: 0, 4: 1}",0
47,False,"{'a': 0.5, 'e': 0.6250022682827008}",20,0,-92.3312643626833,"{0: 12, 1: 3, 2: 3, 3: 1, 4: 1}",0
48,False,"{'a': 0.5, 'e': 0.6187833918061408}",25,14,-12.347120219860466,"{0: 8, 1: 1, 2: 2, 3: 0, 4: 0}",1
49,False,"{'a': 0.5, 'e': 0.6126263941844161}",20,0,-52.93866109754291,"{0: 13, 1: 2, 2: 4, 3: 1, 4: 0}",0
50,False,"{'a': 0.5, 'e': 0.6065306597126334}",20,0,-46.84003610495005,"{0: 16, 1: 2, 2: 1, 3: 0, 4: 1}",0
51,False,"{'a': 0.5, 'e': 0.6004955788122659}",20,12,13.13787419295071,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
52,False,"{'a': 0.5, 'e': 0.5945205479701944}",20,9,-40.554435617852405,"{0: 8, 1: 1, 2: 1, 3: 0, 4: 1}",1
53,False,"{'a': 0.5, 'e': 0.5886049696783552}",20,0,-57.9318624342831,"{0: 14, 1: 1, 2: 3, 3: 2, 4: 0}",0
54,False,"{'a': 0.5, 'e': 0.5827482523739896}",30,18,-73.7839354871821,"{0: 9, 1: 0, 2: 1, 3: 0, 4: 2}",1
55,False,"{'a': 0.5, 'e': 0.5769498103804866}",25,0,-94.10451571952846,"{0: 20, 1: 0, 2: 2, 3: 1, 4: 2}",0
56,False,"{'a': 0.5, 'e': 0.5712090638488149}",20,0,-56.018638389846984,"{0: 14, 1: 3, 2: 2, 3: 0, 4: 1}",0
57,False,"{'a': 0.5, 'e': 0.5655254386995371}",25,7,-74.16828532633089,"{0: 12, 1: 1, 2: 3, 3: 1, 4: 1}",1
58,False,"{'a': 0.5, 'e': 0.559898366565402}",35,20,-50.06131432537532,"{0: 11, 1: 0, 2: 3, 3: 0, 4: 1}",1
59,False,"{'a': 0.5, 'e': 0.5543272847345071}",20,0,-77.63599994743707,"{0: 15, 1: 1, 2: 1, 3: 2, 4: 1}",0
60,False,"{'a': 0.5, 'e': 0.5488116360940265}",20,0,-76.42727070159184,"{0: 16, 1: 2, 2: 0, 3: 0, 4: 2}",1
61,False,"{'a': 0.5, 'e': 0.5433508690744998}",20,0,-25.25332046377075,"{0: 15, 1: 3, 2: 1, 3: 1, 4: 0}",0
62,False,"{'a': 0.5, 'e': 0.5379444375946745}",25,0,-58.387034828872444,"{0: 20, 1: 1, 2: 2, 3: 1, 4: 1}",0
63,False,"{'a': 0.5, 'e': 0.5325918010068972}",25,0,-152.74346629113487,"{0: 16, 1: 3, 2: 2, 3: 1, 4: 3}",0
64,False,"{'a': 0.5, 'e': 0.5272924240430485}",25,3,-28.80739749100089,"{0: 16, 1: 2, 2: 4, 3: 0, 4: 0}",1
65,False,"{'a': 0.5, 'e': 0.522045776761016}",25,0,-8.952374903861921,"{0: 22, 1: 0, 2: 2, 3: 1, 4: 0}",0
66,False,"{'a': 0.5, 'e': 0.5168513344916992}",25,0,-55.84728481696834,"{0: 19, 1: 1, 2: 4, 3: 0, 4: 1}",0
67,False,"{'a': 0.5, 'e': 0.5117085777865424}",35,16,-40.4899928683539,"{0: 15, 1: 1, 2: 2, 3: 0, 4: 1}",1
68,False,"{'a': 0.5, 'e': 0.5066169923655895}",20,10,-18.895762032811128,"{0: 7, 1: 0, 2: 3, 3: 0, 4: 0}",1
